pref,muni,code,did_pop,did_pop_pct,urban,urban_naisui,records,years,first_year,last_year,area_takuchi_km2,area_km2,yukaue,yukashita,buildings,buildings_台風,buildings_梅雨前線,buildings_豪雨・その他,buildings_その他,kubochi_records,has_a51,hires_dem_pref
東京都,狛江市,13219,84772,100.0,True,True,18,5,2010,2019,0.114,0.127,104.0,199.0,303.0,301.0,0.0,2.0,0.0,0,False,True
千葉県,船橋市,12204,617424,96.0,True,True,85,6,2010,2023,0.086,0.086,108.0,189.0,297.0,251.0,18.0,28.0,0.0,1,False,False
京都府,城陽市,26207,67603,90.6,True,True,12,4,2010,2016,0.024,0.025,40.0,250.0,290.0,32.0,0.0,258.0,0.0,0,False,False
静岡県,浜松市南区,22134,59051,59.1,True,True,26,8,2010,2023,6.443,8.64,76.0,214.0,290.0,288.0,0.0,2.0,0.0,0,False,True
京都府,亀岡市,26206,58828,68.3,True,True,112,5,2010,2015,0.055,0.954,97.0,189.0,286.0,130.0,19.0,137.0,0.0,0,False,False
千葉県,市原市,12219,174608,64.7,True,True,117,9,2010,2023,0.07,0.862,85.0,200.0,285.0,228.0,30.0,27.0,0.0,21,False,False
広島県,広島市安佐北区,34106,84375,60.7,True,True,2,2,2014,2021,0.066,0.201,83.0,201.0,284.0,0.0,0.0,284.0,0.0,0,True,False
愛知県,豊川市,23207,123059,66.6,True,True,15,4,2017,2023,0.849,4.257,146.0,137.0,283.0,280.0,3.0,0.0,0.0,0,False,False
宮城県,仙台市青葉区,04101,283507,91.0,True,True,47,8,2010,2019,0.065,0.947,163.0,119.0,282.0,251.0,0.0,31.0,0.0,1,False,False
福井県,福井市,18201,184843,70.5,True,True,63,9,2010,2023,0.229,0.229,11.0,270.0,281.0,19.0,23.0,239.0,0.0,0,False,False
京都府,京都市山科区,26110,129182,95.6,True,True,15,6,2010,2020,0.021,0.021,64.0,216.0,280.0,277.0,2.0,1.0,0.0,0,False,False
岐阜県,各務原市,21213,87517,60.6,True,True,83,12,2010,2022,0.052,0.052,20.0,257.0,277.0,77.0,46.0,154.0,0.0,24,False,False
大分県,大分市,44201,351227,73.8,True,True,57,3,2011,2018,0.444,0.504,46.0,230.0,276.0,276.0,0.0,0.0,0.0,0,False,False
