rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
12,兵庫県,28,高砂市,89.3,1033.0,3312.0,4345.0,0.9997105277441064,2011,2011,1,False,,True,DEM・DSM 1m,,1.0,0.0,0.0,0.0
13,新潟県,15,三条市,54.5,2337.0,1625.0,3962.0,0.035906738515712536,2010,2018,6,False,,False,,,0.1468955073195356,0.034073700151438666,0.8190307925290258,0.0
14,京都府,26,福知山市,50.5,1579.0,2281.0,3860.0,0.026265822784810128,2013,2023,6,False,,False,,,0.3727979274611399,0.0,0.6272020725388601,0.0
15,大阪府,27,枚方市,97.4,297.0,3274.0,3571.0,1.0,2012,2012,1,False,,False,,,0.0,0.0,1.0,0.0
16,埼玉県,11,越谷市,91.1,526.0,2548.0,3074.0,1.0,2013,2015,3,False,,False,,,0.9996746909564086,0.00032530904359141186,0.0,0.0
17,広島県,34,福山市,57.4,1185.0,1358.0,2543.0,1.0,2010,2021,10,False,,False,,,0.7927644514353126,0.1950452221785293,0.01219032638615808,0.0
18,大阪府,27,門真市,100.0,335.0,2011.0,2346.0,1.0,2012,2012,1,False,,False,,,0.0,0.02600170502983802,0.973998294970162,0.0
19,静岡県,22,浜松市,97.4,569.0,1775.0,2344.0,0.6658613958028307,2010,2023,8,False,,True,DEM 0.5m（点群 LAS）,"東区 1,131、浜北区 634、南区 290、中区 131…",0.9035836177474402,0.00469283276450512,0.09172354948805461,0.0
20,京都府,26,舞鶴市,67.6,706.0,1523.0,2229.0,0.27581664910432035,2011,2023,11,False,,False,,,0.9932705248990579,0.0013458950201884253,0.005383580080753701,0.0
21,京都府,26,宇治市,97.9,617.0,1546.0,2163.0,0.9877675840978594,2011,2021,8,False,,False,,,0.019417475728155338,0.0,0.9805825242718447,0.0
22,埼玉県,11,さいたま市,93.9,1036.0,1004.0,2040.0,1.0,2010,2023,8,False,,False,,桜区 929、岩槻区 544、中央区 127、大宮区 126…,0.9102941176470588,0.0,0.08970588235294118,0.0
