pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
長野県,長野市,79,9,2010,2023,1.187,28.0,686.0,1,714.0
新潟県,見附市,38,5,2010,2017,11.808,94.0,602.0,0,696.0
宮城県,気仙沼市,41,5,2012,2019,0.784,344.0,339.0,2,683.0
大分県,臼杵市,25,2,2017,2018,0.664,108.0,553.0,0,661.0
埼玉県,ふじみ野市,30,4,2015,2019,0.212,301.0,356.0,8,657.0
岐阜県,多治見市,105,3,2010,2013,0.422,442.0,212.0,0,654.0
岐阜県,大垣市,103,6,2011,2022,0.995,15.0,633.0,1,648.0
京都府,綾部市,201,6,2011,2023,1.882,90.0,549.0,2,639.0
静岡県,浜松市浜北区,30,7,2010,2023,3.615,183.0,451.0,0,634.0
千葉県,茂原市,11,3,2013,2023,1.466,309.0,321.0,0,630.0
富山県,富山市,135,11,2010,2023,0.324,50.0,579.0,1,629.0
大阪府,大東市,48,3,2012,2017,0.018,48.0,571.0,0,619.0
高知県,四万十市,82,5,2011,2021,1.724,458.0,157.0,0,615.0
秋田県,能代市,159,12,2010,2023,8.422,120.0,492.0,1,612.0
静岡県,伊豆の国市,27,2,2010,2019,0.892,303.0,308.0,26,611.0
山口県,岩国市,68,4,2010,2022,2.849,65.0,542.0,0,607.0
福島県,いわき市,84,7,2010,2016,1.54,237.0,365.0,0,602.0
千葉県,我孫子市,17,8,2010,2023,0.074,135.0,464.0,6,599.0
京都府,京都市伏見区,51,6,2010,2020,0.049,261.0,333.0,0,594.0
広島県,尾道市,49,4,2013,2021,0.074,252.0,332.0,0,584.0
大分県,津久見市,17,2,2016,2017,0.711,258.0,312.0,0,570.0
愛媛県,西条市,168,7,2011,2020,0.217,93.0,471.0,0,564.0
埼玉県,羽生市,43,7,2010,2019,0.295,40.0,504.0,0,544.0
埼玉県,さいたま市岩槻区,84,7,2013,2023,0.33,156.0,388.0,0,544.0
埼玉県,幸手市,40,9,2011,2022,0.294,93.0,445.0,0,538.0
宮崎県,延岡市,174,7,2011,2022,5.708,265.0,268.0,1,533.0
神奈川県,川崎市高津区,12,7,2013,2020,0.056,323.0,209.0,0,532.0
