pref,muni,records,years,first_year,last_year,area_takuchi_km2,yukaue,yukashita,kubochi_records,buildings
徳島県,鳴門市,108,9,2011,2022,0.066,84.0,258.0,0,342.0
千葉県,市川市,74,4,2010,2015,0.061,151.0,190.0,0,341.0
青森県,青森市,99,6,2010,2022,0.574,36.0,304.0,16,340.0
愛知県,西尾市,94,7,2011,2023,0.082,93.0,247.0,8,340.0
秋田県,鹿角市,277,10,2010,2022,0.171,28.0,306.0,0,334.0
宮城県,仙台市太白区,26,8,2010,2019,0.11,138.0,194.0,0,332.0
静岡県,静岡市駿河区,80,5,2014,2023,1.251,163.0,168.0,1,331.0
京都府,京丹後市,127,10,2010,2023,0.119,45.0,285.0,0,330.0
秋田県,仙北市,93,5,2010,2023,0.409,56.0,274.0,26,330.0
島根県,浜田市,96,2,2013,2017,0.055,61.0,265.0,0,326.0
岩手県,釜石市,22,6,2012,2019,0.263,139.0,182.0,3,321.0
群馬県,伊勢崎市,85,7,2010,2023,0.045,81.0,233.0,1,314.0
宮城県,涌谷町,34,9,2010,2022,0.145,58.0,255.0,11,313.0
高知県,日高村,8,1,2014,2014,0.031,206.0,104.0,0,310.0
東京都,狛江市,18,5,2010,2019,0.114,104.0,199.0,0,303.0
秋田県,五城目町,43,4,2011,2023,0.293,60.0,240.0,0,300.0
広島県,東広島市,38,4,2010,2023,0.343,110.0,190.0,0,300.0
三重県,紀北町,28,5,2011,2023,0.149,66.0,232.0,0,298.0
鹿児島県,龍郷町,36,3,2010,2012,0.103,34.0,263.0,0,297.0
千葉県,船橋市,85,6,2010,2023,0.086,108.0,189.0,1,297.0
高知県,四万十町,4,4,2012,2021,0.037,167.0,129.0,0,296.0
岩手県,一関市,48,9,2010,2023,0.66,224.0,71.0,0,295.0
長野県,諏訪市,40,4,2013,2021,0.052,6.0,286.0,0,292.0
京都府,城陽市,12,4,2010,2016,0.024,40.0,250.0,0,290.0
静岡県,浜松市南区,26,8,2010,2023,6.443,76.0,214.0,0,290.0
秋田県,横手市,53,7,2010,2019,0.518,3.0,286.0,0,289.0
岐阜県,可児市,130,3,2010,2021,0.363,123.0,165.0,0,288.0
鳥取県,倉吉市,94,7,2011,2023,0.132,22.0,265.0,8,287.0
京都府,亀岡市,112,5,2010,2015,0.055,97.0,189.0,0,286.0
千葉県,市原市,117,9,2010,2023,0.07,85.0,200.0,21,285.0
静岡県,浜松市天竜区,44,5,2010,2023,0.517,98.0,187.0,3,285.0
広島県,広島市安佐北区,2,2,2014,2021,0.066,83.0,201.0,0,284.0
秋田県,由利本荘市,242,12,2010,2023,0.79,56.0,228.0,2,284.0
愛知県,豊川市,15,4,2017,2023,0.849,146.0,137.0,0,283.0
愛媛県,松前町,20,5,2010,2020,0.072,45.0,238.0,0,283.0
宮城県,仙台市青葉区,47,8,2010,2019,0.065,163.0,119.0,1,282.0
山形県,鶴岡市,76,8,2010,2020,0.068,19.0,262.0,0,281.0
福井県,福井市,63,9,2010,2023,0.229,11.0,270.0,0,281.0
京都府,京都市山科区,15,6,2010,2020,0.021,64.0,216.0,0,280.0
